"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Mar-2025","EQ","506.00","530.50","505.50","504.00","525.45","525.80","521.44","755.40","478.35","28,59,237","1,49,09,29,724.45","49,229"
"18-Mar-2025","EQ","495.80","507.40","478.35","491.80","506.70","504.00","494.14","755.40","478.35","49,08,953","2,42,57,33,028.50","61,288"
"17-Mar-2025","EQ","503.70","505.40","489.45","502.85","492.05","491.80","495.12","755.40","489.45","36,28,157","1,79,63,86,204.50","66,734"
"13-Mar-2025","EQ","508.40","514.40","501.00","507.20","502.70","502.85","506.05","755.40","492.70","22,71,528","1,14,95,16,321.60","44,811"
"12-Mar-2025","EQ","522.85","523.90","499.50","522.10","508.40","507.20","506.93","755.40","492.70","26,76,145","1,35,66,24,868.00","71,800"
"11-Mar-2025","EQ","531.85","531.85","513.65","538.85","523.00","522.10","520.15","755.40","492.70","25,22,700","1,31,21,87,141.15","49,523"
"10-Mar-2025","EQ","543.70","551.50","537.00","544.30","537.00","538.85","544.02","755.40","492.70","21,31,103","1,15,93,61,876.50","40,577"
"07-Mar-2025","EQ","553.50","554.65","540.20","553.20","543.70","544.30","548.29","755.40","492.70","19,16,647","1,05,08,80,859.60","28,803"
"06-Mar-2025","EQ","554.00","557.35","548.60","546.45","553.50","553.20","552.93","755.40","492.70","15,53,346","85,88,88,198.50","33,884"
"05-Mar-2025","EQ","548.40","551.45","541.25","548.35","546.45","546.45","545.80","755.40","492.70","14,74,686","80,48,84,855.50","42,177"
"04-Mar-2025","EQ","550.05","554.80","546.50","557.60","547.30","548.35","550.28","755.40","492.70","13,13,139","72,26,00,469.75","38,988"
"03-Mar-2025","EQ","565.45","568.50","551.65","565.70","557.70","557.60","558.04","755.40","492.70","11,53,314","64,35,95,978.05","32,903"
"28-Feb-2025","EQ","550.00","569.00","549.15","556.70","565.20","565.70","560.19","755.40","492.70","52,85,029","2,96,06,19,261.65","75,258"
"27-Feb-2025","EQ","535.00","559.25","524.25","524.25","556.20","556.70","553.07","755.40","492.70","94,52,200","5,22,77,41,871.15","1,84,276"
"25-Feb-2025","EQ","535.70","536.65","522.40","533.00","524.20","524.25","527.65","755.40","492.70","10,93,537","57,70,09,187.50","30,950"
"24-Feb-2025","EQ","535.90","539.90","530.25","537.60","534.95","533.00","535.09","755.40","492.70","10,90,810","58,36,84,888.60","34,497"
"21-Feb-2025","EQ","534.95","540.05","524.55","535.05","535.90","537.60","534.71","755.40","492.70","17,90,208","95,72,37,391.65","37,701"
"20-Feb-2025","EQ","525.00","538.95","521.65","525.65","535.00","535.05","533.46","755.40","492.70","10,68,810","57,01,70,061.30","29,261"
"19-Feb-2025","EQ","503.00","528.65","492.70","502.40","525.85","525.65","505.83","755.40","492.70","1,12,18,538","5,67,46,54,735.35","94,856"
"18-Feb-2025","EQ","523.00","524.60","499.00","522.05","504.00","502.40","508.90","755.40","499.00","88,09,316","4,48,30,63,787.70","82,521"
"17-Feb-2025","EQ","534.95","535.15","516.70","534.90","522.55","522.05","523.36","755.40","516.70","31,80,759","1,66,46,68,948.65","77,619"
"14-Feb-2025","EQ","554.05","559.50","530.75","553.05","535.45","534.90","537.15","755.40","530.75","31,73,724","1,70,47,61,821.40","76,249"
"13-Feb-2025","EQ","555.35","558.00","544.70","554.40","552.00","553.05","552.64","755.40","534.45","22,84,376","1,26,24,31,794.90","74,629"
"12-Feb-2025","EQ","571.50","571.50","551.15","570.70","555.35","554.40","557.16","755.40","534.45","42,64,400","2,37,59,42,241.70","73,195"
"11-Feb-2025","EQ","580.00","584.00","570.00","579.75","571.90","570.70","575.21","755.40","534.45","34,45,667","1,98,19,96,559.20","84,226"
"10-Feb-2025","EQ","591.00","591.00","575.10","592.10","580.00","579.75","581.51","755.40","534.45","10,64,051","61,87,55,462.85","37,178"
"07-Feb-2025","EQ","587.45","604.00","582.55","586.25","591.00","592.10","593.39","755.40","534.45","34,91,670","2,07,19,11,077.20","68,895"
"06-Feb-2025","EQ","597.05","600.00","582.00","595.60","587.45","586.25","587.09","755.40","534.45","13,71,142","80,49,87,168.70","48,162"
"05-Feb-2025","EQ","604.00","604.00","591.50","599.85","595.30","595.60","595.66","755.40","534.45","18,69,312","1,11,34,69,909.75","38,454"
"04-Feb-2025","EQ","608.90","617.95","596.05","608.90","598.30","599.85","602.67","755.40","534.45","28,15,689","1,69,69,35,021.55","88,715"
"03-Feb-2025","EQ","595.00","610.15","591.40","601.05","609.00","608.90","604.77","755.40","534.45","18,44,807","1,11,56,81,825.95","59,264"
"01-Feb-2025","EQ","605.00","608.00","593.55","600.95","600.70","601.05","601.98","755.40","534.45","10,38,048","62,48,87,786.85","31,437"
"31-Jan-2025","EQ","595.00","603.50","589.25","596.15","603.00","600.95","596.69","755.40","534.45","27,34,757","1,63,18,14,933.55","1,04,060"
"30-Jan-2025","EQ","596.20","607.00","585.00","595.95","600.00","596.15","596.81","755.40","534.45","68,91,318","4,11,28,13,166.80","2,11,912"
"29-Jan-2025","EQ","588.00","603.60","588.00","588.70","596.20","595.95","596.54","755.40","534.45","28,90,746","1,72,44,44,859.15","90,667"
"28-Jan-2025","EQ","574.00","597.25","566.55","563.45","588.80","588.70","585.09","755.40","534.45","69,84,979","4,08,68,57,188.10","96,106"
"27-Jan-2025","EQ","560.00","570.00","544.00","594.65","563.90","563.45","555.92","755.40","534.45","97,81,045","5,43,74,79,074.15","1,50,762"
"24-Jan-2025","EQ","578.45","609.00","567.50","582.40","588.00","594.65","588.65","758.00","534.45","50,80,264","2,99,04,82,061.85","1,10,750"
"23-Jan-2025","EQ","604.00","605.35","572.60","604.40","578.00","582.40","590.02","758.00","534.45","19,40,763","1,14,50,80,797.80","49,627"
"22-Jan-2025","EQ","606.00","608.45","599.05","606.70","605.15","604.40","603.62","758.00","534.45","13,67,058","82,51,86,374.00","64,798"
"21-Jan-2025","EQ","606.00","611.00","597.10","606.00","606.40","606.70","605.54","758.00","534.45","13,39,636","81,11,98,101.40","37,794"
"20-Jan-2025","EQ","599.00","608.35","592.40","597.60","604.95","606.00","601.28","758.00","534.45","17,84,772","1,07,31,51,231.45","40,851"
"17-Jan-2025","EQ","603.00","606.20","595.00","603.40","598.60","597.60","599.24","792.00","534.45","20,53,876","1,23,07,54,788.25","37,953"
"16-Jan-2025","EQ","590.80","611.35","590.00","586.95","604.35","603.40","603.72","792.00","534.45","47,67,863","2,87,84,38,520.60","87,917"
"15-Jan-2025","EQ","576.95","587.95","574.45","575.10","587.50","586.95","582.85","792.00","534.45","17,82,010","1,03,86,37,414.60","38,347"
"14-Jan-2025","EQ","564.05","581.65","564.00","560.30","578.15","575.10","574.79","792.00","534.45","39,79,231","2,28,72,37,901.00","38,649"
"13-Jan-2025","EQ","569.95","571.95","554.65","575.15","561.60","560.30","560.34","792.00","534.45","37,11,095","2,07,94,79,979.25","47,452"
"10-Jan-2025","EQ","570.05","583.00","563.80","570.05","574.50","575.15","577.43","813.40","534.45","47,37,367","2,73,54,91,023.25","84,145"
